id,short_name,eng_name
1,ds,Dongsi
2,tt,Temple of Heaven
3,gy,Guanyuan
4,wsxg,Wanshou West Palace
5,atzx,Olympic Park
6,nzg,Agricultural Exhibition Hall
7,wl,Wanliu
8,bbxq,Haidian Northern New Area
9,zwy,Beijing Botanical Garden
10,fthy,Fengtai Garden
11,yg,Yungang
12,gc,Shijingshan Gucheng
13,yz,Yizhuang
15,lx,Liangxiang
16,tzq,Shunyi New Town
17,syq,Shunyi New Town
18,dl,Dingling
19,cpq,Changping Town
20,dxq,Huangcun Town
21,yf,Yufa
22,pgq,Pinggu Town
23,hrq,Huairou Town
24,myx,Miyun Town
25,mysk,Miyun Reservoir
26,yqx,Yanqing Town
27,bdl,Badaling
